ReservableOptionMarketGroupId,WeekBeforeArrival,actual_incremental,pred_incremental_simulated
Domestic-Obstagoon-Finneon-Static-2024-06-24,50,6.0,0.004320399215901368
Domestic-Obstagoon-Finneon-Static-2024-06-24,49,4.0,0.00440996753838051
Domestic-Obstagoon-Finneon-Static-2024-06-24,48,3.0,0.004430438007206488
Domestic-Obstagoon-Finneon-Static-2024-06-24,47,8.0,0.004534206797922835
Domestic-Obstagoon-Finneon-Static-2024-06-24,46,4.0,0.00415956104796434
Domestic-Obstagoon-Finneon-Static-2024-06-24,45,4.0,0.004434917395164953
Domestic-Obstagoon-Finneon-Static-2024-06-24,44,7.0,0.004874929648725955
Domestic-Obstagoon-Finneon-Static-2024-06-24,43,11.0,0.004930829106896257
Domestic-Obstagoon-Finneon-Static-2024-06-24,42,6.0,0.004911566005865735
Domestic-Obstagoon-Finneon-Static-2024-06-24,41,4.0,0.004932907509687776
Domestic-Obstagoon-Finneon-Static-2024-06-24,40,8.0,0.004911648006715865
Domestic-Obstagoon-Finneon-Static-2024-06-24,39,11.0,0.005031209062223123
Domestic-Obstagoon-Finneon-Static-2024-06-24,38,13.0,0.004748876846236043
Domestic-Obstagoon-Finneon-Static-2024-06-24,37,5.0,0.00476469139121475
Domestic-Obstagoon-Finneon-Static-2024-06-24,36,3.0,0.004896260110051771
Domestic-Obstagoon-Finneon-Static-2024-06-24,35,1.0,0.005179009863238559
Domestic-Obstagoon-Finneon-Static-2024-06-24,34,2.0,0.005135786362612394
Domestic-Obstagoon-Finneon-Static-2024-06-24,33,1.0,0.0046717072066911275
Domestic-Obstagoon-Finneon-Static-2024-06-24,32,1.0,0.004489511586361742
Domestic-Obstagoon-Finneon-Static-2024-06-24,31,0.0,0.004997614675636259
Domestic-Obstagoon-Finneon-Static-2024-06-24,30,0.0,0.004960388878974351
Domestic-Obstagoon-Finneon-Static-2024-06-24,29,0.0,0.004880868004865554
Domestic-Obstagoon-Finneon-Static-2024-06-24,28,0.0,0.004753567731084314
Domestic-Obstagoon-Finneon-Static-2024-06-24,27,0.0,0.0052123283210102015
